filename,learning_rate,epoch,l1_penalty,l2_penalty,accuracy,accuracy_std,recall,recall_std,specificity,specificity_std,auc,auc_std,balanced_accuracy,balanced_accuracy_std,f1,f1_std
Model-228.npz,0.1,150,0.07,0.05,0.6353146853146854,0.07074330936068184,0.27648221343873514,0.16182005961555115,0.8281284606866002,0.09099398967801886,0.6717795096713196,0.15549936173182338,0.5523053370626677,0.08254487936305893,0.3267122463020296,0.1760159013961888
Model-235.npz,0.1,150,1.0,0.03,0.6717016317016318,0.04049444192987989,0.30612648221343874,0.1199148841226229,0.8681063122923588,0.06059458228944399,0.6922108562149007,0.0706022662525668,0.5871163972528988,0.05247610312902574,0.38437864898391216,0.10204962580830722
Model-234.npz,0.1,150,1.0,0.01,0.6671794871794873,0.042667124103046114,0.3241106719367589,0.13400317092514769,0.8517165005537098,0.07561446872708565,0.7268860058041048,0.056756793731234725,0.5879135862452344,0.05362770680493545,0.3938739340844604,0.0952294540793339
Model-233.npz,0.1,150,1.0,0,0.6428671328671329,0.05039047490228965,0.24130434782608692,0.0978468457233866,0.8586932447397564,0.06580803785337765,0.6637013643585938,0.17257434710664488,0.5499987962829217,0.055343732708916696,0.31449322442743494,0.11818329033401874
Model-240.npz,0.1,150,1.0,3.0,0.661002331002331,0.028976909274969324,0.28873517786561265,0.15481878420312292,0.8611849390919157,0.07187616763273975,0.639874113079371,0.12134692747993255,0.5749600584787643,0.05108585654394446,0.34923123332817696,0.14630788030562358
Model-238.npz,0.1,150,1.0,1.0,0.6686946386946386,0.03369311274451588,0.33675889328063235,0.1453293626983119,0.8470099667774086,0.07355220040408704,0.6939481482454183,0.056552148475530285,0.5918844300290205,0.051440272008519285,0.40078824543762626,0.10299209694291994
Model-239.npz,0.1,150,1.0,2.0,0.6398368298368299,0.0612054323079826,0.24980237154150195,0.14662699831919784,0.8493355481727575,0.08058959252395183,0.5724692395572073,0.16246250801229808,0.5495689598571297,0.07241457337334083,0.30806166355621895,0.16614860292023284
Model-236.npz,0.1,150,1.0,0.05,0.6686946386946387,0.03506993588000518,0.3150197628458498,0.14542070838594873,0.8588039867109634,0.07617969096189932,0.6841584266761214,0.07081676935788296,0.5869118747784066,0.05100432527551706,0.3831939222237793,0.1074067515171829
Model-237.npz,0.1,150,1.0,0.07,0.6640559440559441,0.038818685094741665,0.32391304347826083,0.13655668868853568,0.8470099667774086,0.07355220040408704,0.7130047404567121,0.06097533726907944,0.5854615051278349,0.05200694777468328,0.3903550862892968,0.09630700817667705
Model-242.npz,0.1,150,2.0,0.01,0.6657109557109557,0.028051644657909974,0.2102766798418972,0.12240271380396867,0.9103543743078626,0.06933077589802418,0.7401209845092555,0.07169932140176263,0.56031552707488,0.04000764374815423,0.286407754981609,0.12431276737242379
